date,nav,scheme_code
13-02-2026,178.0785,120716
12-02-2026,180.4283,120716
11-02-2026,181.4539,120716
10-02-2026,181.3244,120716
09-02-2026,180.8512,120716
06-02-2026,179.6189,120716
05-02-2026,179.2369,120716
04-02-2026,180.1503,120716
03-02-2026,179.8129,120716
02-02-2026,175.3493,120716
30-01-2026,176.9747,120716
29-01-2026,177.662,120716
28-01-2026,177.1312,120716
27-01-2026,175.9628,120716
23-01-2026,175.0818,120716
22-01-2026,176.7684,120716
21-01-2026,175.8446,120716
20-01-2026,176.3695,120716
19-01-2026,178.8367,120716
16-01-2026,179.6002,120716
14-01-2026,179.2931,120716
13-01-2026,179.7602,120716
12-01-2026,180.1659,120716
09-01-2026,179.4218,120716
08-01-2026,180.7754,120716
07-01-2026,182.6199,120716
06-01-2026,182.8862,120716
05-01-2026,183.3876,120716
02-01-2026,183.9374,120716
01-01-2026,182.6676,120716
31-12-2025,182.5506,120716
30-12-2025,181.2188,120716
29-12-2025,181.2442,120716
26-12-2025,181.9475,120716
24-12-2025,182.6469,120716
23-12-2025,182.8928,120716
22-12-2025,182.8606,120716
19-12-2025,181.4246,120716
18-12-2025,180.3714,120716
17-12-2025,180.3935,120716
16-12-2025,180.6851,120716
15-12-2025,181.8544,120716
12-12-2025,181.995,120716
11-12-2025,180.9594,120716
10-12-2025,179.9784,120716
09-12-2025,180.55,120716
08-12-2025,181.3959,120716
05-12-2025,182.9773,120716
04-12-2025,181.9118,120716
03-12-2025,181.5789,120716
02-12-2025,181.9028,120716
01-12-2025,182.9028,120716
28-11-2025,183.092,120716
27-11-2025,183.1777,120716
26-11-2025,183.1035,120716
25-11-2025,180.8624,120716
24-11-2025,181.3827,120716
21-11-2025,182.14,120716
20-11-2025,183.0036,120716
19-11-2025,182.0266,120716
18-11-2025,181.0319,120716
17-11-2025,181.7521,120716
14-11-2025,181.0327,120716
13-11-2025,180.8189,120716
12-11-2025,180.7964,120716
11-11-2025,179.5365,120716
10-11-2025,178.6952,120716
07-11-2025,178.0938,120716
06-11-2025,178.1603,120716
04-11-2025,178.776,120716
03-11-2025,179.9324,120716
31-10-2025,179.6474,120716
30-10-2025,180.7351,120716
29-10-2025,181.9645,120716
28-10-2025,181.144,120716
27-10-2025,181.3529,120716
24-10-2025,180.0372,120716
23-10-2025,180.7096,120716
20-10-2025,180.3751,120716
17-10-2025,179.4331,120716
16-10-2025,178.5452,120716
15-10-2025,176.7198,120716
14-10-2025,175.4609,120716
13-10-2025,176.0328,120716
10-10-2025,176.4404,120716
09-10-2025,175.7188,120716
08-10-2025,174.7734,120716
07-10-2025,175.2089,120716
06-10-2025,174.9961,120716
03-10-2025,173.7187,120716
01-10-2025,173.3163,120716
30-09-2025,171.7458,120716
26-09-2025,172.066,120716
25-09-2025,173.7152,120716
24-09-2025,174.8748,120716
23-09-2025,175.6615,120716
22-09-2025,175.8914,120716
19-09-2025,176.7643,120716
18-09-2025,177.4388,120716
17-09-2025,176.7884,120716
16-09-2025,176.1533,120716
15-09-2025,174.9688,120716
12-09-2025,175.2835,120716
11-09-2025,174.5273,120716
10-09-2025,174.3023,120716
09-09-2025,173.5741,120716
08-09-2025,172.9083,120716
05-09-2025,172.6869,120716
04-09-2025,172.6409,120716
03-09-2025,172.4756,120716
02-09-2025,171.5318,120716
01-09-2025,171.8498,120716
29-08-2025,170.4706,120716
28-08-2025,170.9875,120716
26-08-2025,172.4606,120716
25-08-2025,174.244,120716
22-08-2025,173.5656,120716
21-08-2025,175.0556,120716
20-08-2025,174.8069,120716
19-08-2025,174.3207,120716
18-08-2025,173.5886,120716
14-08-2025,171.8801,120716
13-08-2025,171.7353,120716
12-08-2025,170.8169,120716
11-08-2025,171.3716,120716
08-08-2025,169.8294,120716
07-08-2025,171.4379,120716
06-08-2025,171.2863,120716
05-08-2025,171.7917,120716
04-08-2025,172.3022,120716
01-08-2025,171.2116,120716
31-07-2025,172.5808,120716
30-07-2025,173.1839,120716
29-07-2025,172.9496,120716
28-07-2025,171.977,120716
25-07-2025,173.0413,120716
24-07-2025,174.5318,120716
23-07-2025,175.6148,120716
22-07-2025,174.5128,120716
21-07-2025,174.7206,120716
18-07-2025,173.8748,120716
17-07-2025,174.7762,120716
16-07-2025,175.4751,120716
15-07-2025,175.3463,120716
14-07-2025,174.5596,120716
11-07-2025,175.0311,120716
10-07-2025,176.4507,120716
09-07-2025,177.2828,120716
08-07-2025,177.6058,120716
07-07-2025,177.1713,120716
04-07-2025,177.163,120716
03-07-2025,176.7332,120716
02-07-2025,177.0677,120716
01-07-2025,177.6823,120716
30-06-2025,177.5115,120716
27-06-2025,178.3514,120716
26-06-2025,177.4662,120716
25-06-2025,175.3587,120716
24-06-2025,173.9703,120716
23-06-2025,173.4691,120716
20-06-2025,174.412,120716
19-06-2025,172.1994,120716
18-06-2025,172.3306,120716
17-06-2025,172.6181,120716
16-06-2025,173.2639,120716
13-06-2025,171.6878,120716
12-06-2025,172.8551,120716
11-06-2025,174.6082,120716
10-06-2025,174.3516,120716
09-06-2025,174.3311,120716
06-06-2025,173.6401,120716
05-06-2025,171.8941,120716
04-06-2025,170.9897,120716
03-06-2025,170.3859,120716
02-06-2025,171.5306,120716
30-05-2025,171.7715,120716
29-05-2025,172.208,120716
28-05-2025,171.6385,120716
27-05-2025,172.0383,120716
26-05-2025,173.2513,120716
23-05-2025,172.2286,120716
22-05-2025,170.5434,120716
21-05-2025,171.9555,120716
20-05-2025,171.0593,120716
19-05-2025,172.8735,120716
16-05-2025,173.391,120716
15-05-2025,173.5912,120716
14-05-2025,170.8551,120716
13-05-2025,170.2432,120716
12-05-2025,172.644,120716
09-05-2025,166.2945,120716
08-05-2025,168.1311,120716
07-05-2025,169.1062,120716
06-05-2025,168.8662,120716
05-05-2025,169.4316,120716
02-05-2025,168.6415,120716
30-04-2025,168.5568,120716
29-04-2025,168.5697,120716
28-04-2025,168.519,120716
25-04-2025,166.4892,120716
24-04-2025,167.9263,120716
23-04-2025,168.4966,120716
22-04-2025,167.3774,120716
21-04-2025,167.0895,120716
17-04-2025,165.1954,120716
16-04-2025,162.326,120716
15-04-2025,161.5742,120716
11-04-2025,158.115,120716
09-04-2025,155.1426,120716
08-04-2025,156.0901,120716
07-04-2025,153.4979,120716
04-04-2025,158.6468,120716
03-04-2025,161.0414,120716
02-04-2025,161.6117,120716
01-04-2025,160.4578,120716
31-03-2025,162.9078,120716
28-03-2025,162.9088,120716
27-03-2025,163.4157,120716
26-03-2025,162.6977,120716
25-03-2025,163.9594,120716
24-03-2025,163.8885,120716
21-03-2025,161.7581,120716
20-03-2025,160.6513,120716
19-03-2025,158.6921,120716
18-03-2025,158.1849,120716
17-03-2025,155.9319,120716
13-03-2025,155.1621,120716
12-03-2025,155.6708,120716
11-03-2025,155.8613,120716
10-03-2025,155.5936,120716
07-03-2025,156.2346,120716
06-03-2025,156.1799,120716
05-03-2025,154.7446,120716
04-03-2025,152.9822,120716
03-03-2025,153.2369,120716
28-02-2025,153.2771,120716
27-02-2025,156.1883,120716
25-02-2025,156.2072,120716
24-02-2025,156.2481,120716
21-02-2025,157.9289,120716
20-02-2025,158.7412,120716
19-02-2025,158.8789,120716
18-02-2025,158.9656,120716
17-02-2025,159.0646,120716
14-02-2025,158.8578,120716
13-02-2025,159.5639,120716
12-02-2025,159.6604,120716
11-02-2025,159.7516,120716
10-02-2025,161.8963,120716
07-02-2025,163.1326,120716
06-02-2025,163.3737,120716
05-02-2025,164.0003,120716
04-02-2025,164.2986,120716
03-02-2025,161.6828,120716
31-01-2025,162.7044,120716
30-01-2025,160.8723,120716
29-01-2025,160.2758,120716
28-01-2025,158.8365,120716
27-01-2025,157.9517,120716
24-01-2025,159.773,120716
23-01-2025,160.5562,120716
22-01-2025,160.2112,120716
21-01-2025,159.3088,120716
20-01-2025,161.5225,120716
17-01-2025,160.5463,120716
16-01-2025,161.149,120716
15-01-2025,160.4686,120716
14-01-2025,160.213,120716
13-01-2025,159.5912,120716
10-01-2025,161.9819,120716
09-01-2025,162.6396,120716
08-01-2025,163.7635,120716
07-01-2025,163.8956,120716
06-01-2025,163.2611,120716
03-01-2025,165.9507,120716
02-01-2025,167.2231,120716
01-01-2025,164.142,120716
31-12-2024,163.4648,120716
30-12-2024,163.4664,120716
27-12-2024,164.6339,120716
26-12-2024,164.1969,120716
24-12-2024,164.0426,120716
23-12-2024,164.222,120716
20-12-2024,163.077,120716
19-12-2024,165.5962,120716
18-12-2024,167.3063,120716
17-12-2024,168.2558,120716
16-12-2024,170.5538,120716
13-12-2024,171.2484,120716
12-12-2024,169.7308,120716
11-12-2024,170.3752,120716
10-12-2024,170.1568,120716
09-12-2024,170.2197,120716
06-12-2024,170.6286,120716
05-12-2024,170.8412,120716
04-12-2024,169.1759,120716
03-12-2024,169.1059,120716
02-12-2024,167.8545,120716
29-11-2024,166.8548,120716
28-11-2024,165.3558,120716
27-11-2024,167.8506,120716
26-11-2024,167.2958,120716
25-11-2024,167.4861,120716
22-11-2024,165.3137,120716
21-11-2024,161.4618,120716
19-11-2024,162.6285,120716
18-11-2024,162.1796,120716
14-11-2024,162.7282,120716
13-11-2024,162.8802,120716
12-11-2024,165.1225,120716
11-11-2024,166.9052,120716
08-11-2024,166.9556,120716
07-11-2024,167.3096,120716
06-11-2024,169.2665,120716
05-11-2024,167.3601,120716
04-11-2024,165.8578,120716
31-10-2024,167.3121,120716
30-10-2024,168.2162,120716
29-10-2024,169.0872,120716
28-10-2024,168.0897,120716
25-10-2024,166.9989,120716
24-10-2024,168.5098,120716
23-10-2024,168.7599,120716
22-10-2024,169.0137,120716
21-10-2024,171.1291,120716
18-10-2024,171.6357,120716
17-10-2024,170.9017,120716
16-10-2024,172.4318,120716
15-10-2024,173.0271,120716
14-10-2024,173.5154,120716
11-10-2024,172.3876,120716
10-10-2024,172.625,120716
09-10-2024,172.512,120716
08-10-2024,172.7286,120716
07-10-2024,171.2292,120716
04-10-2024,172.7431,120716
03-10-2024,174.37,120716
01-10-2024,178.1478,120716
30-09-2024,178.2451,120716
27-09-2024,180.7899,120716
26-09-2024,181.0583,120716
25-09-2024,179.5957,120716
24-09-2024,179.1563,120716
23-09-2024,179.1478,120716
20-09-2024,178.1275,120716
