date,nav,scheme_code,scheme_name,fund_house
13-02-2026,63.65000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-02-2026,64.34000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-02-2026,64.59000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-02-2026,64.46000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-02-2026,64.26000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-02-2026,63.66000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-02-2026,63.63000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-02-2026,63.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-02-2026,63.87000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-02-2026,62.39000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
30-01-2026,63.00000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
29-01-2026,63.08000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-01-2026,62.97000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-01-2026,62.46000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
23-01-2026,62.27000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
22-01-2026,62.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-01-2026,62.57000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-01-2026,62.78000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-01-2026,63.71000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
16-01-2026,63.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-01-2026,63.80000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-01-2026,63.90000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-01-2026,64.03000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
09-01-2026,63.87000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-01-2026,64.46000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
